vin,year,model,body,trim,engine,transmission,drivetrain,exterior_color,msrp,dealer,location,ordernum,json
1G6MG5R2XSU120014,2025,CELESTIQ,SEDAN,Invitational,None,None,AWD,LIQUID STEEL TRICOAT,431960,MOORE CADILLAC,"CHANTILLY, VA 20152-1307",DVBGTQ,"{""maker"": ""CADILLAC"", ""model_year"": ""2025"", ""mmc_code"": ""6G279"", ""vin"": ""1G6MG5R2XSU120014"", ""sitedealer_code"": ""05113"", ""sell_source"": ""12"", ""order_number"": ""DVBGTQ"", ""creation_date"": ""5/14/2026"", ""Options"":[""ACD"", ""AF6"", ""AGG"", ""AHE"", ""AHH"", ""AKE"", ""AKP"", ""AL0"", ""APJ"", ""AQA"", ""ARF"", ""AR9"", ""AT8"", ""AVK"", ""AVU"", ""AXJ"", ""AYG"", ""A06"", ""A2X"", ""A7K"", ""BOR"", ""B3V"", ""B5B"", ""B5C"", ""B7G"", ""B92"", ""CAP"", ""CEH"", ""CE1"", ""CHQ"", ""CTB"", ""CTN"", ""CWA"", ""C24"", ""C50"", ""C70"", ""DAE"", ""DCJ"", ""DDE"", ""DLY"", ""DRZ"", ""EAV"", ""EEA"", ""EF3"", ""EF7"", ""EHT"", ""EMI"", ""EN0"", ""EPH"", ""EZV"", ""EZZ"", ""FAC"", ""FE9"", ""FJP"", ""F2O"", ""F47"", ""F55"", ""GPV"", ""G8T"", ""HS1"", ""IHL"", ""IKP"", ""ISA"", ""IVE"", ""JFR"", ""J25"", ""KAG"", ""KB6"", ""KD5"", ""KEJ"", ""KI8"", ""KRV"", ""KSG"", ""K2O"", ""K3Z"", ""K4C"", ""K6J"", ""LHD"", ""MAH"", ""MF1"", ""NAM"", ""NF6"", ""NKR"", ""NYS"", ""N38"", ""N5X"", ""PB4"", ""PCP"", ""PCU"", ""PDA"", ""PDB"", ""PDF"", ""PDG"", ""PDL"", ""PDW"", ""PHX"", ""PPO"", ""PSC"", ""P9C"", ""QKI"", ""RAE"", ""RCG"", ""RSR"", ""R7I"", ""R7M"", ""R8R"", ""R9M"", ""R9N"", ""SLM"", ""S76"", ""TCP"", ""TDA"", ""TQ5"", ""TUI"", ""TUJ"", ""TVR"", ""TW8"", ""T4L"", ""T4Y"", ""T8Z"", ""T95"", ""UCV"", ""UEC"", ""UEN"", ""UEU"", ""UE1"", ""UFB"", ""UF2"", ""UGD"", ""UGN"", ""UG1"", ""UHO"", ""UH0"", ""UIT"", ""UKI"", ""UKK"", ""UKL"", ""UKT"", ""UKZ"", ""ULM"", ""UMN"", ""UOW"", ""UQH"", ""URB"", ""USK"", ""US3"", ""UTJ"", ""UTR"", ""UTU"", ""UTV"", ""UVX"", ""UVZ"", ""UV2"", ""UV3"", ""UW9"", ""U08"", ""U2K"", ""U5G"", ""VHM"", ""VRD"", ""VRF"", ""VRG"", ""VRH"", ""VRJ"", ""VRK"", ""VRL"", ""VRM"", ""VRN"", ""VRR"", ""VV4"", ""V8D"", ""WMZ"", ""WOT"", ""XFD"", ""XL8"", ""X0E"", ""Y7C"", ""0K2"", ""0ST"", ""016"", ""02C"", ""031"", ""044"", ""05A"", ""05R"", ""06F"", ""07A"", ""1NF"", ""1SC"", ""1SZ"", ""2NF"", ""2ST"", ""3ST"", ""37N"", ""4MD"", ""4ST"", ""5A7"", ""5FC"", ""5ST"", ""6X1"", ""7X1"", ""8X2"", ""9L3"", ""9X2""]}"
1G6MG5R21SU120015,2025,CELESTIQ,SEDAN,Invitational,None,None,AWD,CAROLINA BLUE,370260,MORRIS CADILLAC,"NORTH OLMSTED, OH 44070-2740",DVXJ88,"{""maker"": ""CADILLAC"", ""model_year"": ""2025"", ""mmc_code"": ""6G279"", ""vin"": ""1G6MG5R21SU120015"", ""sitedealer_code"": ""20323"", ""sell_source"": ""12"", ""order_number"": ""DVXJ88"", ""creation_date"": ""12/8/2025"", ""Options"":[""ACD"", ""AF6"", ""AGG"", ""AHE"", ""AHH"", ""AKE"", ""AKP"", ""AL0"", ""APJ"", ""AQA"", ""ARF"", ""AR9"", ""AT8"", ""AVK"", ""AVU"", ""AXJ"", ""AYG"", ""A06"", ""A2X"", ""A7K"", ""BOR"", ""B3V"", ""B5B"", ""B5C"", ""B7G"", ""CEK"", ""CE1"", ""CHQ"", ""CTB"", ""CWA"", ""C24"", ""C50"", ""C70"", ""DAE"", ""DDE"", ""DLY"", ""DRZ"", ""EAV"", ""EF3"", ""EF7"", ""EHT"", ""EMI"", ""EN0"", ""EPH"", ""EZV"", ""EZZ"", ""FAC"", ""FE9"", ""FJP"", ""F47"", ""F55"", ""GLN"", ""GPV"", ""HS1"", ""IKP"", ""IVE"", ""JFR"", ""J25"", ""KAG"", ""KB6"", ""KD5"", ""KEJ"", ""KI8"", ""KRV"", ""KSG"", ""K2O"", ""K3Z"", ""K4C"", ""K6J"", ""LHD"", ""MAH"", ""MF1"", ""NAM"", ""NF6"", ""NKR"", ""NYS"", ""N38"", ""N5X"", ""PB4"", ""PCN"", ""PCU"", ""PCY"", ""PDA"", ""PDB"", ""PDE"", ""PDF"", ""PDG"", ""PDL"", ""PDU"", ""PDW"", ""PPO"", ""PSC"", ""P9C"", ""QKI"", ""RAE"", ""RCM"", ""RSR"", ""R7I"", ""R7M"", ""R9M"", ""R9N"", ""SLM"", ""S76"", ""TCP"", ""TDA"", ""TQ5"", ""TUI"", ""TUJ"", ""TVR"", ""TW8"", ""T4L"", ""T4Y"", ""T8Z"", ""T95"", ""UCV"", ""UEC"", ""UEN"", ""UEU"", ""UE1"", ""UFB"", ""UF2"", ""UGD"", ""UGN"", ""UG1"", ""UHO"", ""UH0"", ""UKI"", ""UKK"", ""UKL"", ""UKT"", ""UKZ"", ""ULM"", ""UMN"", ""UOW"", ""UQH"", ""URB"", ""USK"", ""US3"", ""UTJ"", ""UTR"", ""UTU"", ""UTV"", ""UVX"", ""UVZ"", ""UV2"", ""UV3"", ""UW9"", ""U08"", ""U2K"", ""U5G"", ""VHM"", ""VK3"", ""VRD"", ""VRF"", ""VRG"", ""VRH"", ""VRJ"", ""VRK"", ""VRL"", ""VRM"", ""VRN"", ""VRR"", ""VV4"", ""V8D"", ""WMZ"", ""XFD"", ""XL8"", ""X0E"", ""Y7C"", ""0A4"", ""0ST"", ""02Y"", ""036"", ""04W"", ""05X"", ""06P"", ""07H"", ""1NF"", ""1SC"", ""1SZ"", ""2NF"", ""2ST"", ""3ST"", ""37V"", ""4MD"", ""4ST"", ""5A7"", ""5FC"", ""5ST"", ""6X1"", ""7X1"", ""8X2"", ""9L3"", ""9X2""]}"
1G6MG5R23SU120002,2025,CELESTIQ,SEDAN,Invitational,None,None,AWD,SEA WOLF TRICOAT,436385,KEVIN WHITAKER CADILLAC,"GREENVILLE, SC 29606-7029",DMZX7G,"{""maker"": ""CADILLAC"", ""model_year"": ""2025"", ""mmc_code"": ""6G279"", ""vin"": ""1G6MG5R23SU120002"", ""sitedealer_code"": ""25188"", ""sell_source"": ""12"", ""order_number"": ""DMZX7G"", ""creation_date"": ""5/14/2026"", ""Options"":[""ACD"", ""AF6"", ""AGG"", ""AHE"", ""AHH"", ""AKE"", ""AKP"", ""AL0"", ""APJ"", ""AQA"", ""ARF"", ""AR9"", ""AT8"", ""AVK"", ""AVU"", ""AXJ"", ""AYG"", ""A06"", ""A2X"", ""A7K"", ""BOR"", ""B3V"", ""B5B"", ""B5C"", ""B7G"", ""CAP"", ""CEV"", ""CE1"", ""CHQ"", ""CTB"", ""CWA"", ""C24"", ""C50"", ""C70"", ""DAE"", ""DDE"", ""DLY"", ""DRZ"", ""EAV"", ""EEB"", ""EF3"", ""EF7"", ""EHT"", ""EMI"", ""EN0"", ""EPH"", ""EZV"", ""EZZ"", ""FAC"", ""FCL"", ""FER"", ""FE9"", ""FJP"", ""F2U"", ""F47"", ""F55"", ""GPV"", ""GXA"", ""HS1"", ""IKP"", ""IVE"", ""JFR"", ""J25"", ""KAG"", ""KB6"", ""KD5"", ""KEJ"", ""KI8"", ""KRV"", ""KSG"", ""K2O"", ""K3Z"", ""K4C"", ""K6J"", ""LHD"", ""MAH"", ""MF1"", ""NAM"", ""NF6"", ""NKR"", ""NYS"", ""N38"", ""N5X"", ""PB4"", ""PCP"", ""PCU"", ""PDE"", ""PDF"", ""PDL"", ""PHT"", ""PKC"", ""PPO"", ""PSC"", ""P9C"", ""QKX"", ""RAE"", ""RSR"", ""R7I"", ""R7M"", ""R7W"", ""R9M"", ""R9N"", ""SLM"", ""S76"", ""TCP"", ""TDA"", ""TQ5"", ""TUI"", ""TUJ"", ""TVR"", ""TW8"", ""T4L"", ""T4Y"", ""T8Z"", ""T95"", ""UCV"", ""UEC"", ""UEN"", ""UEU"", ""UE1"", ""UFB"", ""UF2"", ""UGD"", ""UGN"", ""UG1"", ""UHO"", ""UH0"", ""UKI"", ""UKK"", ""UKL"", ""UKT"", ""UKZ"", ""ULM"", ""UMN"", ""UOW"", ""UQH"", ""URB"", ""USK"", ""US3"", ""UTJ"", ""UTR"", ""UTU"", ""UTV"", ""UVX"", ""UVZ"", ""UV2"", ""UV3"", ""UW9"", ""U08"", ""U2K"", ""U5G"", ""VHM"", ""VK3"", ""VRD"", ""VRF"", ""VRG"", ""VRH"", ""VRJ"", ""VRK"", ""VRL"", ""VRM"", ""VRN"", ""VRR"", ""VV4"", ""V8D"", ""WMZ"", ""WOT"", ""XFD"", ""XL8"", ""X0E"", ""YM8"", ""Y7C"", ""0A8"", ""0E8"", ""0ST"", ""01G"", ""02G"", ""037"", ""04P"", ""05I"", ""06N"", ""07C"", ""1LB"", ""1NF"", ""1SC"", ""1SZ"", ""2NF"", ""2ST"", ""3ST"", ""37A"", ""4MD"", ""4ST"", ""5A7"", ""5FC"", ""5ST"", ""6X1"", ""7X1"", ""8X2"", ""9L3"", ""9X2""]}"
1G6MG5R25SU120020,2025,CELESTIQ,SEDAN,Invitational,None,None,AWD,MOSS METALLIC,443775,CADILLAC OF NORWOOD,"NORWOOD, MA 02062-5222",FKSV1G,"{""maker"": ""CADILLAC"", ""model_year"": ""2025"", ""mmc_code"": ""6G279"", ""vin"": ""1G6MG5R25SU120020"", ""sitedealer_code"": ""24121"", ""sell_source"": ""12"", ""order_number"": ""FKSV1G"", ""creation_date"": ""1/13/2026"", ""Options"":[""ACD"", ""AF6"", ""AGG"", ""AHE"", ""AHH"", ""AKE"", ""AKP"", ""AL0"", ""APJ"", ""AQA"", ""ARF"", ""AR9"", ""AT8"", ""AVK"", ""AVU"", ""AXJ"", ""AYG"", ""A06"", ""A2X"", ""A7K"", ""BOR"", ""B3V"", ""B5B"", ""B5C"", ""B7G"", ""B92"", ""CAP"", ""CEU"", ""CE1"", ""CHQ"", ""CTB"", ""CWA"", ""C24"", ""C50"", ""C70"", ""DAE"", ""DCJ"", ""DDE"", ""DLY"", ""DRZ"", ""EAV"", ""EF3"", ""EF7"", ""EHN"", ""EHT"", ""EMI"", ""EN0"", ""EPH"", ""EZV"", ""EZZ"", ""FAB"", ""FDS"", ""FJP"", ""F47"", ""F55"", ""F9T"", ""GPV"", ""G9E"", ""HS1"", ""IHL"", ""IKP"", ""IVE"", ""JFR"", ""J25"", ""KAG"", ""KB6"", ""KD5"", ""KEJ"", ""KI8"", ""KRV"", ""KSG"", ""K2O"", ""K3Z"", ""K4C"", ""K6J"", ""LHD"", ""MAH"", ""MF1"", ""NAM"", ""NE1"", ""NF6"", ""NKR"", ""NYS"", ""N38"", ""N5X"", ""PB4"", ""PCP"", ""PCU"", ""PDA"", ""PDF"", ""PDL"", ""PHR"", ""PKC"", ""PPO"", ""PSC"", ""P9C"", ""QKX"", ""RAE"", ""RFZ"", ""RSR"", ""RWH"", ""R7I"", ""R7M"", ""R9M"", ""R9N"", ""SLM"", ""S76"", ""TCP"", ""TDA"", ""TQ5"", ""TUI"", ""TUJ"", ""TVR"", ""TW8"", ""T4L"", ""T4Y"", ""T8Z"", ""T95"", ""UCV"", ""UEC"", ""UEN"", ""UEU"", ""UE1"", ""UFB"", ""UF2"", ""UGD"", ""UGN"", ""UG1"", ""UHO"", ""UH0"", ""UKI"", ""UKK"", ""UKL"", ""UKT"", ""UKZ"", ""ULM"", ""UMN"", ""UOW"", ""UQH"", ""URB"", ""USK"", ""US3"", ""UTJ"", ""UTR"", ""UTU"", ""UTV"", ""UUA"", ""UVX"", ""UVZ"", ""UV2"", ""UV3"", ""UW9"", ""U08"", ""U2K"", ""U5G"", ""VHM"", ""VK3"", ""VRD"", ""VRF"", ""VRG"", ""VRH"", ""VRJ"", ""VRK"", ""VRL"", ""VRM"", ""VRN"", ""VRR"", ""VV4"", ""V8D"", ""WMZ"", ""WOT"", ""XFD"", ""XL8"", ""X0E"", ""YM8"", ""Y7C"", ""0A6"", ""0A8"", ""0DT"", ""0E8"", ""0K2"", ""0ST"", ""03X"", ""04V"", ""05R"", ""05Z"", ""06X"", ""07K"", ""07X"", ""1L8"", ""1NF"", ""1SC"", ""1SZ"", ""2NF"", ""2ST"", ""3ST"", ""37G"", ""4MD"", ""4ST"", ""5A7"", ""5FC"", ""5ST"", ""6X1"", ""7X1"", ""8X2"", ""9L3"", ""9X2""]}"
1G6MG5R27SU120018,2025,CELESTIQ,SEDAN,Invitational,None,None,AWD,STELLAR BLACK METALLIC,439020,CADILLAC OF NORWOOD,"NORWOOD, MA 02062-5222",DPJG89,"{""maker"": ""CADILLAC"", ""model_year"": ""2025"", ""mmc_code"": ""6G279"", ""vin"": ""1G6MG5R27SU120018"", ""sitedealer_code"": ""24121"", ""sell_source"": ""12"", ""order_number"": ""DPJG89"", ""creation_date"": ""2/26/2026"", ""Options"":[""ACD"", ""AF6"", ""AGG"", ""AHE"", ""AHH"", ""AKE"", ""AKP"", ""AL0"", ""APJ"", ""AQA"", ""ARF"", ""AR9"", ""AT8"", ""AVK"", ""AVU"", ""AXJ"", ""AYG"", ""A06"", ""A2X"", ""A7K"", ""BOR"", ""B3V"", ""B5B"", ""B5C"", ""B7G"", ""CAP"", ""CEG"", ""CE1"", ""CHQ"", ""CTB"", ""CWA"", ""C24"", ""C50"", ""C70"", ""DAE"", ""DCJ"", ""DDE"", ""DLY"", ""DRZ"", ""EAV"", ""EF3"", ""EF7"", ""EHT"", ""EMI"", ""EN0"", ""EPH"", ""EZV"", ""EZZ"", ""FAC"", ""FCL"", ""FJP"", ""F0L"", ""F47"", ""F55"", ""GB8"", ""GPV"", ""HS1"", ""IHL"", ""IKP"", ""IVE"", ""JFR"", ""J25"", ""KAG"", ""KB6"", ""KD5"", ""KEJ"", ""KI8"", ""KRV"", ""KSG"", ""K2O"", ""K3Z"", ""K4C"", ""K6J"", ""LHD"", ""MAH"", ""MF1"", ""NAM"", ""NE1"", ""NF6"", ""NKR"", ""NYS"", ""N38"", ""N5X"", ""PB4"", ""PCP"", ""PCU"", ""PCY"", ""PDA"", ""PDB"", ""PDE"", ""PDF"", ""PDG"", ""PDL"", ""PDU"", ""PDW"", ""PKC"", ""PPO"", ""PSC"", ""P9C"", ""QKX"", ""RAE"", ""RSR"", ""R7I"", ""R7M"", ""R9M"", ""R9N"", ""SLM"", ""S76"", ""TCP"", ""TDA"", ""TQ5"", ""TUI"", ""TUJ"", ""TVR"", ""TW8"", ""T4L"", ""T4Y"", ""T8Z"", ""T95"", ""UCV"", ""UEC"", ""UEN"", ""UEU"", ""UE1"", ""UFB"", ""UF2"", ""UGD"", ""UGN"", ""UG1"", ""UHO"", ""UH0"", ""UKI"", ""UKK"", ""UKL"", ""UKT"", ""UKZ"", ""ULM"", ""UMN"", ""UOW"", ""UQH"", ""URB"", ""USK"", ""US3"", ""UTJ"", ""UTR"", ""UTU"", ""UTV"", ""UVX"", ""UVZ"", ""UV2"", ""UV3"", ""UW9"", ""U08"", ""U2K"", ""U5G"", ""VHM"", ""VK3"", ""VRD"", ""VRF"", ""VRG"", ""VRH"", ""VRJ"", ""VRK"", ""VRL"", ""VRM"", ""VRN"", ""VRR"", ""VV4"", ""V8D"", ""WMZ"", ""WOV"", ""XFD"", ""XL8"", ""X0E"", ""Y7C"", ""0DW"", ""0G1"", ""0K2"", ""0ST"", ""010"", ""02C"", ""031"", ""044"", ""05A"", ""05R"", ""06F"", ""06L"", ""07A"", ""07K"", ""1NF"", ""1SC"", ""1SZ"", ""2NF"", ""2ST"", ""3ST"", ""4MD"", ""4ST"", ""5A7"", ""5FC"", ""5ST"", ""6X1"", ""7X1"", ""8X2"", ""9L3"", ""9X2""]}"
1G6MG5R28SU120013,2025,CELESTIQ,SEDAN,Invitational,None,None,AWD,EMERALD ISLE METALLIC,385410,LAFONTAINE CADILLAC,"HIGHLAND, MI 48357-4007",DVBGSF,"{""maker"": ""CADILLAC"", ""model_year"": ""2025"", ""mmc_code"": ""6G279"", ""vin"": ""1G6MG5R28SU120013"", ""sitedealer_code"": ""20015"", ""sell_source"": ""12"", ""order_number"": ""DVBGSF"", ""creation_date"": ""12/8/2025"", ""Options"":[""ACD"", ""AF6"", ""AGG"", ""AHE"", ""AHH"", ""AKE"", ""AKP"", ""AL0"", ""APJ"", ""AQA"", ""ARF"", ""AR9"", ""AT8"", ""AVK"", ""AVU"", ""AXJ"", ""AYG"", ""A06"", ""A2X"", ""A7K"", ""BOR"", ""B3V"", ""B5B"", ""B5C"", ""B7G"", ""CE1"", ""CHQ"", ""CTB"", ""CWA"", ""C24"", ""C50"", ""C70"", ""DAE"", ""DDE"", ""DLY"", ""DRZ"", ""EAV"", ""EF3"", ""EF7"", ""EHT"", ""EMI"", ""EN0"", ""EPH"", ""EZV"", ""EZZ"", ""FAF"", ""FE9"", ""FJP"", ""F47"", ""F55"", ""GOG"", ""GPV"", ""HS1"", ""IKP"", ""ISA"", ""IVE"", ""JFR"", ""J25"", ""KAG"", ""KB6"", ""KD5"", ""KEJ"", ""KI8"", ""KRV"", ""KSG"", ""K2O"", ""K3Z"", ""K4C"", ""K6J"", ""LHD"", ""MAH"", ""MF1"", ""NAM"", ""NF6"", ""NKR"", ""NYS"", ""N38"", ""N5X"", ""PB4"", ""PCN"", ""PCU"", ""PCY"", ""PDA"", ""PDB"", ""PDE"", ""PDF"", ""PDG"", ""PDH"", ""PDL"", ""PDU"", ""PDV"", ""PDW"", ""PKD"", ""PPO"", ""PSC"", ""P9C"", ""QKX"", ""RAE"", ""RSR"", ""R7I"", ""R7M"", ""R8R"", ""R9M"", ""R9N"", ""SLM"", ""S76"", ""TCP"", ""TDA"", ""TQ5"", ""TUI"", ""TUJ"", ""TVR"", ""TW8"", ""T4L"", ""T4Y"", ""T8Z"", ""T95"", ""UCV"", ""UEC"", ""UEN"", ""UEU"", ""UE1"", ""UFB"", ""UF2"", ""UGD"", ""UGN"", ""UG1"", ""UHO"", ""UH0"", ""UIT"", ""UKI"", ""UKK"", ""UKL"", ""UKT"", ""UKZ"", ""ULM"", ""UMN"", ""UOW"", ""UQH"", ""URB"", ""USK"", ""US3"", ""UTJ"", ""UTR"", ""UTU"", ""UTV"", ""UVX"", ""UVZ"", ""UV2"", ""UV3"", ""UW9"", ""U08"", ""U2K"", ""U5G"", ""VHM"", ""VRD"", ""VRF"", ""VRG"", ""VRH"", ""VRJ"", ""VRK"", ""VRL"", ""VRM"", ""VRN"", ""VRR"", ""VV4"", ""V8D"", ""WMZ"", ""XFD"", ""XL8"", ""X0E"", ""Y7C"", ""0ST"", ""016"", ""02X"", ""03R"", ""04V"", ""05P"", ""06T"", ""07G"", ""1NF"", ""1SC"", ""1SZ"", ""2NF"", ""2ST"", ""3ST"", ""4MD"", ""4ST"", ""5A7"", ""5FC"", ""5ST"", ""6X1"", ""7X1"", ""8X2"", ""9L3"", ""9X2""]}"
